[['Thomas Heilman', '1', '1.00'],
 ['Maximus Williamson', '1', '1.00'],
 ['Luke Ellis', '3', '1.19'],
 ['Mate Hartmann', '4', '1.42'],
 ['Pacome Bricout', '5', '1.43'],
 ['Calvin Fry', '6', '1.48'],
 ['Nathan Szobota', '7', '1.68'],
 ['Thomas Mercer', '8', '1.74'],
 ['Emir Batur Albayrak', '9', '1.77'],
 ['Luka Mladenovic', '10', '1.78'],
 ['Josh Bey', '11', '1.80'],
 ['Muhammed Ozden', '12', '1.81'],
 ['Campbell McKean', '13', '1.82'],
 ['William Mulgrew', '14', '1.83'],
 ['Sean Green', '15', '1.96'],
 ['Casper Puggaard', '16', '2.17'],
 ['Bucky Gettys', '17', '2.20'],
 ['Noah Cakir', '18', '2.48'],
 ['Norvin Clontz', '19', '2.66'],
 ['Ahmet Isik', '19', '2.66'],
 ['Rafael Fente Damers', '21', '2.79'],
 ['Max Carlsen', '22', '2.83'],
 ['Timothé Barbeau', '23', '2.87'],
 ['Ethan Ekk', '24', '2.92'],
 ['Ali Sayed', '25', '3.10'],
 ['Ryan Erisman', '26', '3.18'],
 ['Jason Zhao', '27', '3.25'],
 ['Marvin Johnson', '28', '3.51'],
 ['Maro Miknic', '29', '3.71'],
 ['Cheuk Yin (Wesley) NG', '30', '3.77'],
 ['Kadem Goksu Erdagli', '31', '3.80'],
 ['Efe Isler', '32', '3.89'],
 ['Blake Amlicke', '33', '4.10'],
 ['Dziugas Miskinis', '34', '4.30'],
 ['Gabe Nunziata', '35', '4.39'],
 ['Kristupas Trepocka', '35', '4.39'],
 ['Szymon Misiak', '37', '4.57'],
 ['Antoine Sauve', '38', '4.69'],
 ['Gavin Keogh', '39', '5.01'],
 ['Alan Vergine', '40', '5.12'],
 ['Mikolaj Popiel', '41', '5.15'],
 ['Jordan Willis', '42', '5.40'],
 ['Zack Oswald', '43', '5.55'],
 ['Ricky Lottering', '44', '5.70'],
 ['Mack Schumann', '45', '5.75'],
 ['Maksim Manolov', '46', '5.83'],
 ['Edouard Duffy', '47', '5.96'],
 ['Crash Ackerly', '48', '5.97'],
 ['Martin Wrede', '49', '6.14'],
 ['Alexey Glivinsky', '50', '6.50'],
 ['Ian Platts-Mills', '51', '6.82'],
 ['Alex Thiesing', '52', '6.89'],
 ['Kenneth Barnicle', '52', '6.89'],
 ['Finn Wendland', '54', '7.06'],
 ['Mark Iltsisin', '55', '7.15'],
 ['Emre Zeytinoglu', '56', '7.19'],
 ['Jake McCoy', '57', '7.23'],
 ['Andy Kravchenko', '58', '7.24'],
 ['Lukas Fritzke', '59', '7.27'],
 ['Boldizsar MAGDA', '60', '7.28'],
 ['John Rusnock', '60', '7.28'],
 ['Steijn Louter', '62', '7.29'],
 ['Finn Hammer', '63', '7.35'],
 ['Kenan Dracic', '64', '7.38'],
 ['Andrew Jin', '65', '7.40'],
 ['Noah Powers', '66', '7.43'],
 ['Ray Liu', '67', '7.45'],
 ['Robert Pedersen', '68', '7.55'],
 ['Caiden Bowers', '69', '7.68'],
