[['Luka Mijatovic', '1', '1.33'],
 ['Shareef Elaydi', '2', '4.79'],
 ['Nicholas Castella', '3', '5.17'],
 ['Ellis Crisci', '4', '7.53'],
 ['Juan Vallmitjana', '5', '7.74'],
 ['Anthony Dornoff', '6', '10.19'],
 ['Brayden Capen', '7', '10.75'],
 ['Daniel Branon', '8', '10.87'],
 ['Colin Jacobs', '9', '11.43'],
 ['Vince Pal', '10', '11.73'],
 ['Owen Ekk', '11', '11.96'],
 ['Francesco Ceolin', '12', '12.50'],
 ['Luke Vatev', '13', '13.46'],
 ['Joey Campagnola', '14', '13.75'],
 ['Brady Campbell', '15', '13.90'],
 ['Collin Holgerson', '16', '14.74'],
 ['Boone Wilcox', '17', '14.88'],
 ['Ian Call', '18', '14.96'],
 ['Davis Jackson', '19', '15.44'],
 ['Ewan Dalrymple', '20', '15.47'],
 ['Griffin Oehler', '21', '15.54'],
 ['Luke Zardavets', '22', '15.61'],
 ['Jackson Irwin', '23', '15.63'],
 ['Connor Christopherson', '24', '15.81'],
 ['Moritz Markitz', '25', '16.00'],
 ['William Allen', '26', '16.06'],
 ['Samuel Fekete', '27', '16.16'],
 ['Michael Powell', '28', '16.36'],
 ['Micah Tennison', '29', '16.42'],
 ['Alex Goodman', '30', '16.49'],
 ['Nicolas Kokidko', '31', '16.74'],
 ['Nicholas Liberty', '32', '16.96'],
 ['Allen Gyang', '33', '17.02'],
 ['Hayden Vicknair', '34', '17.26'],
 ['Alex Pletcher', '35', '17.32'],
 ['Reid O&#x27;Connell', '36', '17.35'],
 ['Oliver Tomas', '37', '17.50'],
 ['Guangheng Zhu', '38', '17.55'],
 ['Thomas McMillan', '39', '17.91'],
 ['Cole Nelson', '40', '17.96'],
 ['Luke Collins', '41', '18.04'],
 ['Alex Barone', '42', '18.14'],
 ['Ryan Baldwin', '43', '18.51'],
 ['Helgaard Muller', '44', '18.55'],
 ['Kannen Crossland', '45', '18.60'],
 ['Kaden Wong', '46', '18.72'],
 ['Evan Pan-Wang', '47', '18.82'],
 ['Blake TeBeest', '47', '18.82'],
 ['William Shoesmith', '49', '18.91'],
 ['Cade Vieler', '50', '19.38'],
 ['Jackson Hartzler', '51', '19.66'],
 ['Miroslav Terziev', '52', '19.74'],
 ['Yi Zheng', '53', '19.77'],
 ['Drew Sito', '54', '19.83'],
 ['Isaac Litwiller', '55', '20.03'],
 ['Jonny Palamar', '56', '20.26'],
 ['Langston Lindsey', '57', '20.28'],
 ['Mark Cecco', '58', '20.52'],
 ['Grant O&#x27;Mara', '59', '20.57'],
 ['Leo English', '60', '20.66'],
 ['Zaki Ibrahim', '61', '20.69'],
 ['Christopher Wang', '62', '20.75'],
 ['Kellie Tobergte', '63', '20.77'],
 ['Tyler Kominski', '64', '20.86'],
 ['Valdemar Hyldig', '65', '20.94'],
 ['Vaughn Muir', '66', '21.14'],
 ['Andrew Malaj', '67', '21.15'],
 ['Liam Drake', '68', '21.22'],
 ['Herkus Andronatij', '69', '21.29'],
 ['Yuri Plaksin', '70', '21.71'],
 ['Diego Ramos', '71', '21.80'],
 ['Colt Chaires', '72', '21.86'],
 ['Jonah Ruhl', '73', '22.03'],
 ['Derek Ho', '74', '22.07'],
 ['Luc Dionne', '75', '22.23'],
 ['Cale TeBeest', '76', '22.31'],
 ['Sterling Tuxford', '77', '22.39'],
 ['Jan Sciranka', '78', '22.41'],
 ['Collier Stanton', '79', '22.45'],
 ['Kian Grabar', '80', '22.57'],
 ['Kai Shinkyo', '81', '22.72'],
 ['Aadin Terrazas', '82', '22.80'],
 ['Aidan Collins', '83', '22.85'],
 ['Spencer Belbot', '84', '22.89'],
 ['Alex Gonzalez', '85', '22.95'],
 ['Gavin Halusic', '86', '22.96'],
 ['Aidin Muminovic', '87', '23.01'],
 ['Ben Liang', '88', '23.08'],
 ['Luke Hamon', '89', '23.16'],
 ['Deniz Bilsel', '90', '23.26'],
 ['Jack Cunningham', '91', '23.30'],
 ['Patrick Dunn', '92', '23.35'],
 ['Ben Luginski', '93', '23.37'],
 ['Taylor Thongintra', '94', '23.40'],
 ['David Cortez', '95', '23.46'],
 ['Alex Jungbluth', '96', '23.67'],
 ['Grady Bell', '96', '23.67'],
 ['Jacob Bougaieff', '98', '23.84'],
 ['Austin Bruford', '99', '23.93'],
 ['Parker Knapp', '100', '24.01'],
 ['Robbie Doolittle', '101', '24.02'],
 ['Josiah Jacobson', '102', '24.17'],
 ['Jack Murphy', '103', '24.38'],
 ['Tristen Hepburn', '104', '24.45'],
 ['Ethan Xu', '105', '24.56'],
 ['Avery Heron', '105', '24.56'],
 ['Kyle Burk', '107', '24.57'],
 ['Nash King', '108', '24.60'],
 ['Charlie Mccuiston', '109', '24.68'],
 ['Parker Efird', '110', '24.71'],
 ['Ryan Wanner', '111', '24.83'],
 ['Carson Waters', '112', '24.94'],
 ['Alex Yao', '113', '25.02'],
 ['Quinn Caputo', '114', '25.06'],
 ['Seth Morgan', '115', '25.16'],
