[['Harrison Powe', 'https://www.swimcloud.com/results/142707/event/18/?id=24563124#time24563124', '22.05', 'M150'],
 ['Harrison Powe', 'https://www.swimcloud.com/results/142707/event/14/?id=24562882#time24562882', '47.81', 'M1100'],
 ['Harrison Powe', 'https://www.swimcloud.com/results/192111/event/4/?id=39114630#time39114630', '1:39.14', 'M1200'],
 ['Padgett Powe', 'https://www.swimcloud.com/results/45269/event/16/?id=6671078#time6671078', '4:41.53', 'M1500'],
 ['Christopher Cardwell', 'https://www.swimcloud.com/results/21961/event/46/?id=3778307#time3778307', '52.95', 'M2100'],
 ['Harrison Powe', 'https://www.swimcloud.com/results/192111/event/22/?id=39114595#time39114595', '55.11', 'M3100'],
 ['Christopher Cardwell', 'https://www.swimcloud.com/results/21961/event/40/?id=3778263#time3778263', '52.06', 'M4100'],
 ['Drew Queen', 'https://www.swimcloud.com/results/22210/event/18/?id=3950720#time3950720', '2:01.60', 'M5200'],
 ['Lake Norman Charter', 'https://www.swimcloud.com/results/231012/event/18/?id=96412147#time96412147', '1:30.34', 'M6200'],
 ['Lake Norman Charter', 'https://www.swimcloud.com/results/192111/event/24/?id=39114691#time39114691', '3:18.56', 'M6400'],
 ['Lake Norman Charter', 'https://www.swimcloud.com/results/192111/event/2/?id=39114667#time39114667', '1:39.06', 'M7200'],
 ['Ariel Hopper', 'https://www.swimcloud.com/results/142707/event/17/?id=24563084#time24563084', '24.38', 'F150'],
 ['Campbelle Cyrus', 'https://www.swimcloud.com/results/273756/event/13/?id=119300795#time119300795', '53.56', 'F1100'],
 ['Skye Yampolsky', 'https://www.swimcloud.com/results/273756/event/3/?id=119300859#time119300859', '1:57.40', 'F1200'],
 ['Jennifer Schimmoller', 'https://www.swimcloud.com/results/142707/event/15/?id=24563250#time24563250', '5:18.63', 'F1500'],
 ['Ariel Hopper', 'https://www.swimcloud.com/results/142707/event/19/?id=24563467#time24563467', '57.70', 'F2100'],
 ['Riggan Ayscue', 'https://www.swimcloud.com/results/76004/event/21/?id=8840386#time8840386', '1:05.01', 'F3100'],
 ['Ariel Hopper', 'https://www.swimcloud.com/results/142707/event/11/?id=24563012#time24563012', '58.40', 'F4100'],
 ['Riggan Ayscue', 'https://www.swimcloud.com/results/76004/event/5/?id=8840346#time8840346', '2:08.74', 'F5200'],
 ['Lake Norman Charter', 'https://www.swimcloud.com/results/122226/event/17/?id=41142564#time41142564', '1:39.85', 'F6200'],
 ['Lake Norman Charter', 'https://www.swimcloud.com/results/273756/event/23/?id=119300869#time119300869', '3:39.78', 'F6400'],
 ['Lake Norman Charter', 'https://www.swimcloud.com/results/115535/event/1/?id=17793946#time17793946', '1:49.44', 'F7200']]
